icd9_code,icd10_code
451,I80.8
451,I80
451,I80.9
009,A08.8
009,A08
009,A08.4
202.15,C84.05
202.25,C84.15
287.31,D69.3
292.2,F15.122
292.2,F15.129
292.2,F15.22
292.2,F15.120
292.2,F15.12
292.2,F15.229
292.2,F15.92
292.2,F15.920
292.2,F15.220
292.2,F15.921
292.2,F15.222
292.2,F15.922
292.2,F15.929
292.2,F15.121
363.03,H30.029
363.03,H30.022
363.03,H30.021
363.03,H30.023
363.03,H30.02
365.0,H40.003
365.0,H40.00
365.0,H40.009
365.0,H40.002
365.0,H40.001
365.0,H40.0
365.03,H40.043
365.03,H40.049
365.03,H40.04
365.03,H40.041
365.03,H40.042
365.05,H40.022
365.05,H40.02
365.05,H40.019
365.05,H40.011
365.05,H40.012
365.05,H40.013
365.05,H40.029
365.05,H40.023
365.05,H40.021
369.02,H54.10
369.02,H54.12
369.02,H54.11
369.03,H54.10
369.03,H54.12
369.03,H54.11
369.05,H54.10
369.05,H54.12
369.05,H54.11
369.06,H54.10
369.06,H54.12
369.06,H54.11
369.07,H54.10
369.07,H54.12
369.07,H54.11
369.1,H54.10
369.1,H54.12
369.1,H54.11
369.11,H54.10
369.11,H54.12
369.11,H54.11
369.12,H54.10
369.12,H54.12
369.12,H54.11
369.13,H54.10
369.13,H54.12
369.13,H54.11
369.14,H54.10
369.14,H54.12
369.14,H54.11
369.15,H54.10
369.15,H54.12
369.15,H54.11
369.16,H54.10
369.16,H54.12
369.16,H54.11
369.17,H54.10
369.17,H54.12
369.17,H54.11
369.18,H54.10
369.18,H54.12
369.18,H54.11
369.21,H54.10
369.21,H54.12
369.21,H54.11
369.23,H54.10
369.23,H54.12
369.23,H54.11
369.24,H54.10
369.24,H54.12
369.24,H54.11
369.62,H54.10
369.62,H54.12
369.62,H54.11
369.63,H54.4
369.63,H54.6
369.63,H54.40
369.63,H54.60
369.63,H54
369.63,H54.7
369.64,H54.4
369.64,H54.6
369.64,H54.40
369.64,H54.60
369.64,H54
369.64,H54.7
369.8,H54.4
369.8,H54.6
369.8,H54.40
369.8,H54.60
369.8,H54
369.8,H54.7
379.99,Q87.42
379.99,H44.89
379.99,H44.8
379.99,H44
382.02,H66.0
386.51,H83.2X3
386.51,H83.2X2
386.51,H83.2X9
386.51,H83.2X
386.51,H83.2X1
386.51,H83.2
386.56,H83.2X3
386.56,H83.2X2
386.56,H83.2X9
386.56,H83.2X
386.56,H83.2X1
386.56,H83.2
398.0,I09.0
398.0,I01.2
415,I26.01
415,I26.09
415,I26.03
415,I26.04
415,I26.0
